CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
M6515*0*Other infective (teno)synovitis, hip*Otra sinovitis infecciosa (teno), cadera
M65151*1*Other infective (teno)synovitis, right hip*Otra sinovitis infecciosa (teno), cadera derecha
M65152*1*Other infective (teno)synovitis, left hip*Otra sinovitis infecciosa (teno), cadera izquierda
M65159*1*Other infective (teno)synovitis, unspecified hip*Otra sinovitis infecciosa (teno), cadera no especificada
M6516*0*Other infective (teno)synovitis, knee*Otra sinovitis infecciosa (teno), rodilla
M65161*1*Other infective (teno)synovitis, right knee*Otra sinovitis infecciosa (teno), rodilla derecha
M65162*1*Other infective (teno)synovitis, left knee*Otra sinovitis infecciosa (teno), rodilla izquierda
M65169*1*Other infective (teno)synovitis, unspecified knee*Otra sinovitis infecciosa (teno), rodilla no especificada
M6517*0*Other infective (teno)synovitis, ankle and foot*Otras sinovitis infecciosas (teno), tobillo y pie
M65171*1*Other infective (teno)synovitis, right ankle and foot*Otras sinovitis infecciosas (teno), tobillo y pie derechos
M65172*1*Other infective (teno)synovitis, left ankle and foot*Otras sinovitis infecciosas (teno), tobillo y pie izquierdos
M65179*1*Other infective (teno)synovitis, unspecified ankle and foot*Otra sinovitis infecciosa (teno), tobillo y pie no especificados
M6518*1*Other infective (teno)synovitis, other site*Otra sinovitis infecciosa (teno), otro sitio
M6519*1*Other infective (teno)synovitis, multiple sites*Otras sinovitis infecciosas (teno), sitios múltiples
M652*0*Calcific tendinitis*Tendinitis calcificante
M6520*1*Calcific tendinitis, unspecified site*Tendinitis calcificante, localización no especificada
M6522*0*Calcific tendinitis, upper arm*Tendinitis calcificante, brazo
M65221*1*Calcific tendinitis, right upper arm*Tendinitis calcificante, brazo derecho
M65222*1*Calcific tendinitis, left upper arm*Tendinitis calcificante, brazo izquierdo
M65229*1*Calcific tendinitis, unspecified upper arm*Tendinitis calcificante, brazo no especificado
M6523*0*Calcific tendinitis, forearm*Tendinitis calcificante, antebrazo
M65231*1*Calcific tendinitis, right forearm*Tendinitis calcificante, antebrazo derecho
M65232*1*Calcific tendinitis, left forearm*Tendinitis calcificante, antebrazo izquierdo
M65239*1*Calcific tendinitis, unspecified forearm*Tendinitis calcificante, antebrazo no especificado
M6524*0*Calcific tendinitis, hand*Tendinitis calcificante, mano
M65241*1*Calcific tendinitis, right hand*Tendinitis calcificante, mano derecha
M65242*1*Calcific tendinitis, left hand*Tendinitis calcificante, mano izquierda
M65249*1*Calcific tendinitis, unspecified hand*Tendinitis calcificante, mano no especificada
M6525*0*Calcific tendinitis, thigh*Tendinitis calcificante, muslo
M80061*0*Age-related osteopor w current path fracture, r low leg*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna derecha
M80061A*1*Age-rel osteopor w current path fracture, r low leg, init*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna derecha, encuentro inicial por fractura
M80061D*1*Age-rel osteopor w crnt path fx, r low leg, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna derecha, encuentro posterior por fractura con curación de rutina
M80061G*1*Age-rel osteopor w crnt path fx, r low leg, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna derecha, encuentro posterior por fractura con curación tardía
M80061K*1*Age-rel osteopor w crnt path fx, r low leg, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna derecha, encuentro posterior por fractura con seudoartrosis
M80061P*1*Age-rel osteopor w crnt path fx, r low leg, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna derecha, encuentro posterior por fractura con consolidación defectuosa
M80061S*1*Age-rel osteopor w current path fracture, r low leg, sequela*Osteoporosis relacionada con la edad con fractura patológica actual, pierna derecha, secuela
M80062*0*Age-related osteopor w current path fracture, l low leg*Osteoporosis relacionada con la edad con fractura patológica actual, pierna izquierda
M80062A*1*Age-rel osteopor w current path fracture, l low leg, init*Osteoporosis relacionada con la edad con fractura patológica actual, pierna izquierda, encuentro inicial por fractura
M80062D*1*Age-rel osteopor w crnt path fx, l low leg, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, pierna izquierda, posterior encuentro por fractura con curación de rutina
M80062G*1*Age-rel osteopor w crnt path fx, l low leg, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, pierna izquierda, encuentro posterior por fractura con curación tardía
M80062K*1*Age-rel osteopor w crnt path fx, l low leg, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna izquierda, encuentro posterior por fractura con seudoartrosis
M80062P*1*Age-rel osteopor w crnt path fx, l low leg, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna izquierda, encuentro posterior por fractura con consolidación defectuosa
M80062S*1*Age-rel osteopor w current path fracture, l low leg, sequela*Osteoporosis relacionada con la edad con fractura patológica actual, pierna izquierda, secuela
M80069*0*Age-related osteopor w current path fracture, unsp lower leg*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna no especificada
M80069A*1*Age-rel osteopor w current path fracture, unsp low leg, init*Osteoporosis relacionada con la edad con fractura patológica actual, pierna no especificada, encuentro inicial por fractura
M80069D*1*Age-rel osteopor w crnt path fx, unsp low leg, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna no especificada, encuentro posterior por fractura con curación de rutina
M80069G*1*Age-rel osteopor w crnt path fx, unsp low leg, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna no especificada, encuentro posterior por fractura con cicatrización tardía
M80069K*1*Age-rel osteopor w crnt path fx, unsp low leg, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, parte inferior de la pierna no especificada, encuentro posterior por fractura con seudoartrosis
M80069P*1*Age-rel osteopor w crnt path fx, unsp low leg, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, pierna no especificada, encuentro posterior por fractura con consolidación defectuosa
M80069S*1*Age-rel osteopor w current path fx, unsp low leg, sequela*Osteoporosis relacionada con la edad con fractura patológica actual, pierna no especificada, secuela
M8007*0*Age-related osteopor w current pathological fracture, ank/ft*Osteoporosis relacionada con la edad con fractura patológica actual de tobillo y pie
M80071*0*Age-related osteopor w current path fracture, right ank/ft*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie derechos
M80071A*1*Age-rel osteopor w current path fracture, right ank/ft, init*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie derechos, encuentro inicial por fractura
M80071D*1*Age-rel osteopor w crnt path fx, r ank/ft, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie derechos, encuentro posterior por fractura con curación de rutina
M80071G*1*Age-rel osteopor w crnt path fx, r ank/ft, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie derechos, encuentro posterior por fractura con curación tardía
M80071K*1*Age-rel osteopor w crnt path fx, r ank/ft, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie derechos, encuentro posterior por fractura con seudoartrosis
M80071P*1*Age-rel osteopor w crnt path fx, r ank/ft, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie derechos, posterior encuentro por fractura con consolidación defectuosa
M80071S*1*Age-rel osteopor w current path fx, right ank/ft, sequela*Osteoporosis por edad con fractura patológica actual, tobillo y pie derechos, secuela
M80072*0*Age-related osteopor w current path fracture, left ank/ft*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie izquierdos
M80072A*1*Age-rel osteopor w current path fracture, left ank/ft, init*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie izquierdos, encuentro inicial por fractura
M80072D*1*Age-rel osteopor w crnt path fx, l ank/ft, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie izquierdos, encuentro posterior por fractura con curación de rutina
M80072G*1*Age-rel osteopor w crnt path fx, l ank/ft, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie izquierdos, posterior encuentro por fractura con curación tardía
M80072K*1*Age-rel osteopor w crnt path fx, l ank/ft, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie izquierdos, encuentro posterior por fractura con seudoartrosis
M80072P*1*Age-rel osteopor w crnt path fx, l ank/ft, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie izquierdos, encuentro posterior por fractura con consolidación defectuosa
M80072S*1*Age-rel osteopor w current path fx, left ank/ft, sequela*Osteoporosis asociada a la edad con fractura patológica actual, tobillo y pie izquierdos, secuela
M80079*0*Age-related osteopor w current path fracture, unsp ank/ft*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados
M80079A*1*Age-rel osteopor w current path fracture, unsp ank/ft, init*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados, encuentro inicial por fractura
M80079D*1*Age-rel osteopor w crnt path fx, unsp ank/ft, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados, encuentro posterior por fractura con curación de rutina
M84634K*1*Path fx in oth disease, left radius, subs for fx w nonunion*Fractura patológica en otra enfermedad, radio izquierdo, posterior encuentro por fractura con seudoartrosis
M84634P*1*Path fx in oth disease, left radius, subs for fx w malunion*Fractura patológica en otra patología, radio izquierdo, encuentro posterior por fractura con mala consolidación
M84634S*1*Pathological fracture in other disease, left radius, sequela*Fractura patológica en otra patología, radio izquierdo, secuela
M84639*0*Pathological fracture in other disease, unsp ulna and radius*Fractura patológica en otras enfermedades, cúbito y radio no especificados
M84639A*1*Path fracture in oth disease, unsp ulna and radius, init*Fractura patológica en otra enfermedad, cúbito y radio no especificados, encuentro inicial por fractura
M84639D*1*Path fx in oth dis, unsp ulna & rad, 7thD*Fractura patológica en otra enfermedad, cúbito y radio no especificados, encuentro posterior por fractura con curación rutinaria
M84639G*1*Path fx in oth dis, unsp ulna & rad, 7thG*Fractura patológica en otra enfermedad, cúbito y radio no especificados, encuentro posterior por fractura con cicatrización tardía
M84639K*1*Path fx in oth dis, unsp ulna & rad, subs for fx w nonunion*Fractura patológica en otra enfermedad, cúbito y radio no especificados, encuentro posterior por fractura con seudoartrosis
M84639P*1*Path fx in oth dis, unsp ulna & rad, subs for fx w malunion*Fractura patológica en otra enfermedad, cúbito y radio no especificados, encuentro posterior por fractura con consolidación defectuosa
M84639S*1*Path fracture in oth disease, unsp ulna and radius, sequela*Fractura patológica en otras enfermedades, cúbito y radio no especificados, secuela
M8464*0*Pathological fracture in other disease, hand*Fractura patológica en otra enfermedad, mano.
M84641*0*Pathological fracture in other disease, right hand*Fractura patológica en otra enfermedad, mano derecha
M84641A*1*Pathological fracture in oth disease, right hand, init*Fractura patológica en otra enfermedad, mano derecha, encuentro inicial por fractura
M84641D*1*Path fx in oth disease, r hand, subs for fx w routn heal*Fractura patológica en otra enfermedad, mano derecha, posterior encuentro por fractura con curación rutinaria
M84641G*1*Path fx in oth disease, r hand, subs for fx w delay heal*Fractura patológica en otra enfermedad, mano derecha, encuentro posterior por fractura con curación tardía
M84641K*1*Path fracture in oth disease, r hand, subs for fx w nonunion*Fractura patológica en otra patología, mano derecha, posterior encuentro por fractura con seudoartrosis
M84641P*1*Path fracture in oth disease, r hand, subs for fx w malunion*Fractura patológica en otra patología, mano derecha, encuentro posterior por fractura con mala consolidación
M84641S*1*Pathological fracture in other disease, right hand, sequela*Fractura patológica en otra enfermedad, mano derecha, secuela
M84642*0*Pathological fracture in other disease, left hand*Fractura patológica en otra enfermedad, mano izquierda
M84642A*1*Pathological fracture in oth disease, left hand, init for fx*Fractura patológica en otra enfermedad, mano izquierda, encuentro inicial por fractura
M84642D*1*Path fx in oth disease, l hand, subs for fx w routn heal*Fractura patológica en otra enfermedad, mano izquierda, posterior encuentro por fractura con curación rutinaria
M84642G*1*Path fx in oth disease, l hand, subs for fx w delay heal*Fractura patológica en otra enfermedad, mano izquierda, posterior encuentro por fractura con curación tardía
M84642K*1*Path fracture in oth disease, l hand, subs for fx w nonunion*Fractura patológica en otra enfermedad, mano izquierda, posterior encuentro por fractura con seudoartrosis
M84642P*1*Path fracture in oth disease, l hand, subs for fx w malunion*Fractura patológica en otra patología, mano izquierda, posterior encuentro por fractura con mala consolidación
M84642S*1*Pathological fracture in other disease, left hand, sequela*Fractura patológica en otra enfermedad, mano izquierda, secuela
M84649*0*Pathological fracture in other disease, unspecified hand*Fractura patológica en otra enfermedad, mano no especificada
M84649A*1*Pathological fracture in oth disease, unsp hand, init for fx*Fractura patológica en otra enfermedad, mano no especificada, encuentro inicial por fractura
M84649D*1*Path fx in oth disease, unsp hand, subs for fx w routn heal*Fractura patológica en otra enfermedad, mano no especificada, encuentro posterior por fractura con curación rutinaria
M84649G*1*Path fx in oth disease, unsp hand, subs for fx w delay heal*Fractura patológica en otra enfermedad, mano no especificada, encuentro posterior por fractura con curación tardía
M84649K*1*Path fx in oth disease, unsp hand, subs for fx w nonunion*Fractura patológica en otra enfermedad, mano no especificada, encuentro posterior por fractura con seudoartrosis
M84649P*1*Path fx in oth disease, unsp hand, subs for fx w malunion*Fractura patológica en otra enfermedad, mano no especificada, encuentro posterior por fractura con consolidación defectuosa
M84649S*1*Pathological fracture in other disease, unsp hand, sequela*Fractura patológica en otra enfermedad, mano no especificada, secuela
M8465*0*Pathological fracture in other disease, pelvis and femur*Fractura patológica en otras enfermedades, pelvis y fémur.
M84650*0*Pathological fracture in other disease, pelvis*Fractura patológica en otra enfermedad, pelvis.
M84650A*1*Pathological fracture in oth disease, pelvis, init for fx*Fractura patológica en otra enfermedad, pelvis, encuentro inicial por fractura
M84650D*1*Path fx in oth disease, pelvis, subs for fx w routn heal*Fractura patológica en otra enfermedad, pelvis, encuentro posterior por fractura con curación rutinaria
M84650G*1*Path fx in oth disease, pelvis, subs for fx w delay heal*Fractura patológica en otra enfermedad, pelvis, encuentro posterior por fractura con cicatrización tardía
M84650K*1*Path fracture in oth disease, pelvis, subs for fx w nonunion*Fractura patológica en otra enfermedad, pelvis, encuentro posterior por fractura con seudoartrosis
M84650P*1*Path fracture in oth disease, pelvis, subs for fx w malunion*Fractura patológica en otra enfermedad, pelvis, encuentro posterior por fractura con consolidación defectuosa
M84650S*1*Pathological fracture in other disease, pelvis, sequela*Fractura patológica en otra enfermedad, pelvis, secuela
M84651*0*Pathological fracture in other disease, right femur*Fractura patológica en otra enfermedad, fémur derecho
M84651A*1*Pathological fracture in oth disease, right femur, init*Fractura patológica en otra enfermedad, fémur derecho, encuentro inicial por fractura
M84651D*1*Path fx in oth disease, r femur, subs for fx w routn heal*Fractura patológica en otra enfermedad, fémur derecho, encuentro posterior por fractura con curación rutinaria
M84651G*1*Path fx in oth disease, r femur, subs for fx w delay heal*Fractura patológica en otra enfermedad, fémur derecho, encuentro posterior por fractura con curación tardía
M84651K*1*Path fx in oth disease, r femur, subs for fx w nonunion*Fractura patológica en otra enfermedad, fémur derecho, encuentro posterior por fractura con seudoartrosis
M47896*1*Other spondylosis, lumbar region*Otras espondilosis, región lumbar
M47897*1*Other spondylosis, lumbosacral region*Otras espondilosis, región lumbosacra
M47898*1*Other spondylosis, sacral and sacrococcygeal region*Otras espondilosis, región sacra y sacrococcígea
M47899*1*Other spondylosis, site unspecified*Otras espondilosis, sitio no especificado
M479*1*Spondylosis, unspecified*Espondilosis, no especificada
M48*0*Other spondylopathies*Otras espondilopatías
M480*0*Spinal stenosis*Estenosis espinal
M4800*1*Spinal stenosis, site unspecified*Estenosis espinal, sitio no especificado
M4801*1*Spinal stenosis, occipito-atlanto-axial region*Estenosis espinal, región occipito-atlanto-axial
M4802*1*Spinal stenosis, cervical region*Estenosis espinal, región cervical
M4803*1*Spinal stenosis, cervicothoracic region*Estenosis espinal, región cervicotorácica
M4804*1*Spinal stenosis, thoracic region*Estenosis espinal, región torácica
M4805*1*Spinal stenosis, thoracolumbar region*Estenosis espinal, región toracolumbar
M4806*1*Spinal stenosis, lumbar region*Estenosis espinal, región lumbar
M4807*1*Spinal stenosis, lumbosacral region*Estenosis espinal, región lumbosacra
M4808*1*Spinal stenosis, sacral and sacrococcygeal region*Estenosis espinal, región sacra y sacrococcígea
M481*0*Ankylosing hyperostosis [Forestier]*Hiperostosis anquilosante [Forestier]
M4810*1*Ankylosing hyperostosis [Forestier], site unspecified*Hiperostosis anquilosante [Forestier], sitio no especificado
M4811*1*Ankylosing hyperostosis, occipito-atlanto-axial region*Hiperostosis anquilosante [Forestier], región occipito-atlanto-axial
M4812*1*Ankylosing hyperostosis [Forestier], cervical region*Hiperostosis anquilosante [Forestier], región cervical
M4813*1*Ankylosing hyperostosis [Forestier], cervicothoracic region*Hiperostosis anquilosante [Forestier], región cervicotorácica
M4814*1*Ankylosing hyperostosis [Forestier], thoracic region*Hiperostosis anquilosante [Forestier], región torácica
M4815*1*Ankylosing hyperostosis [Forestier], thoracolumbar region*Hiperostosis anquilosante [Forestier], región toracolumbar
M4816*1*Ankylosing hyperostosis [Forestier], lumbar region*Hiperostosis anquilosante [Forestier], región lumbar
M4817*1*Ankylosing hyperostosis [Forestier], lumbosacral region*Hiperostosis anquilosante [Forestier], región lumbosacra
M4818*1*Ankylosing hyperostosis, sacral and sacrococcygeal region*Hiperostosis anquilosante [Forestier], región sacra y sacrococcígea
M4819*1*Ankylosing hyperostosis [Forestier], multiple sites in spine*Hiperostosis anquilosante [Forestier], múltiples sitios en la columna
M482*0*Kissing spine*Besando la columna
M4820*1*Kissing spine, site unspecified*Besar la columna vertebral, sitio no especificado
M4821*1*Kissing spine, occipito-atlanto-axial region*Besar la columna vertebral, región occipito-atlanto-axial
M4822*1*Kissing spine, cervical region*Besar la columna vertebral, región cervical
M4823*1*Kissing spine, cervicothoracic region*Besar la columna vertebral, región cervicotorácica
M4824*1*Kissing spine, thoracic region*Besar la columna vertebral, región torácica
M4825*1*Kissing spine, thoracolumbar region*Besar la columna vertebral, región toracolumbar
M4826*1*Kissing spine, lumbar region*Besar la columna vertebral, la región lumbar
M4827*1*Kissing spine, lumbosacral region*Besar la columna vertebral, región lumbosacra
M483*0*Traumatic spondylopathy*Espondilopatía traumática
M4830*1*Traumatic spondylopathy, site unspecified*Espondilopatía traumática, sitio no especificado
M4831*1*Traumatic spondylopathy, occipito-atlanto-axial region*Espondilopatía traumática, región occipito-atlanto-axial
M4832*1*Traumatic spondylopathy, cervical region*Espondilopatía traumática, región cervical
M4833*1*Traumatic spondylopathy, cervicothoracic region*Espondilopatía traumática, región cervicotorácica
M4834*1*Traumatic spondylopathy, thoracic region*Espondilopatía traumática, región torácica
M4835*1*Traumatic spondylopathy, thoracolumbar region*Espondilopatía traumática, región toracolumbar
M4836*1*Traumatic spondylopathy, lumbar region*Espondilopatía traumática, región lumbar
M4837*1*Traumatic spondylopathy, lumbosacral region*Espondilopatía traumática, región lumbosacra
M4838*1*Traumatic spondylopathy, sacral and sacrococcygeal region*Espondilopatía traumática, región sacra y sacrococcígea
M484*0*Fatigue fracture of vertebra*Fractura de vértebra por fatiga
M4840*0*Fatigue fracture of vertebra, site unspecified*Fractura de vértebra por fatiga, sitio no especificado
M4840XA*1*Fatigue fracture of vertebra, site unsp, init for fx*Fractura de vértebra por fatiga, sitio no especificado, encuentro inicial para la fractura
M4840XD*1*Fatigue fx vertebra, site unsp, subs for fx w routn heal*Fractura de vértebra por fatiga, sitio no especificado, encuentro posterior por fractura con curación de rutina
M4840XG*1*Fatigue fx vertebra, site unsp, subs for fx w delay heal*Fractura de vértebra por fatiga, sitio no especificado, encuentro posterior por fractura con cicatrización tardía
M4840XS*1*Fatigue fracture of vertebra, site unsp, sequela of fracture*Fractura de vértebra por fatiga, sitio no especificado, secuela de fractura
M4841*0*Fatigue fracture of vertebra, occipito-atlanto-axial region*Fractura por fatiga de vértebra, región occipito-atlanto-axial
M4841XA*1*Fatigue fracture of vertebra, occipt-atlan-ax region, init*Fractura de vértebra por fatiga, región occipito-atlanto-axial, encuentro inicial por fractura
M4841XD*1*Fatigue fx vert, occipt-atlan-ax rgn, 7thD*Fractura de vértebra por fatiga, región occipito-atlanto-axial, posterior encuentro por fractura con curación rutinaria
M4841XG*1*Fatigue fx vert, occipt-atlan-ax rgn, 7thG*Fractura de vértebra por fatiga, región occipito-atlanto-axial, encuentro posterior por fractura con curación tardía
M4841XS*1*Fatigue fracture of vertebra, occipt-atlan-ax region, sqla*Fractura de vértebra por fatiga, región occipito-atlanto-axial, secuela de fractura
M4842*0*Fatigue fracture of vertebra, cervical region*Fractura por fatiga de vértebra, región cervical
M4842XA*1*Fatigue fracture of vertebra, cervical region, init for fx*Fractura de vértebra por fatiga, región cervical, encuentro inicial por fractura
M4842XD*1*Fatigue fx vertebra, cerv region, subs for fx w routn heal*Fractura por fatiga de vértebra, región cervical, encuentro posterior por fractura con curación de rutina
M4842XG*1*Fatigue fx vertebra, cerv region, subs for fx w delay heal*Fractura por fatiga de vértebra, región cervical, encuentro posterior por fractura con cicatrización tardía
M4842XS*1*Fatigue fracture of vertebra, cervical region, sqla*Fractura de vértebra por fatiga, región cervical, secuela de fractura
M4843*0*Fatigue fracture of vertebra, cervicothoracic region*Fractura de vértebra por fatiga, región cervicotorácica
M4843XA*1*Fatigue fracture of vertebra, cervicothoracic region, init*Fractura de vértebra por fatiga, región cervicotorácica, encuentro inicial por fractura
M65251*1*Calcific tendinitis, right thigh*Tendinitis calcificante, muslo derecho
M65252*1*Calcific tendinitis, left thigh*Tendinitis calcificante, muslo izquierdo
M65259*1*Calcific tendinitis, unspecified thigh*Tendinitis calcificante, muslo no especificado
M6526*0*Calcific tendinitis, lower leg*Tendinitis calcificante, pierna
M65261*1*Calcific tendinitis, right lower leg*Tendinitis calcificante, pierna derecha
M65262*1*Calcific tendinitis, left lower leg*Tendinitis calcificante, pierna izquierda
M65269*1*Calcific tendinitis, unspecified lower leg*Tendinitis calcificante, pierna no especificada
M6527*0*Calcific tendinitis, ankle and foot*Tendinitis calcificante, tobillo y pie
M65271*1*Calcific tendinitis, right ankle and foot*Tendinitis calcificante, tobillo y pie derechos
M65272*1*Calcific tendinitis, left ankle and foot*Tendinitis calcificante, tobillo y pie izquierdos
M65279*1*Calcific tendinitis, unspecified ankle and foot*Tendinitis calcificante, tobillo y pie no especificados
M6528*1*Calcific tendinitis, other site*Tendinitis calcificante, otra localización
M6529*1*Calcific tendinitis, multiple sites*Tendinitis calcificante, localizaciones múltiples
M653*0*Trigger finger*Dedo en gatillo
M6530*1*Trigger finger, unspecified finger*Dedo en gatillo, dedo no especificado
M6531*0*Trigger thumb*Pulgar en gatillo
M65311*1*Trigger thumb, right thumb*Pulgar en gatillo, pulgar derecho
M65312*1*Trigger thumb, left thumb*Pulgar en gatillo, pulgar izquierdo
M65319*1*Trigger thumb, unspecified thumb*Pulgar en gatillo, pulgar no especificado
M6532*0*Trigger finger, index finger*Dedo en gatillo, dedo índice
M65321*1*Trigger finger, right index finger*Dedo en gatillo, dedo índice derecho
M65322*1*Trigger finger, left index finger*Dedo en gatillo, dedo índice izquierdo
M65329*1*Trigger finger, unspecified index finger*Dedo en gatillo, dedo índice no especificado
M6533*0*Trigger finger, middle finger*Dedo en gatillo, dedo medio
M65331*1*Trigger finger, right middle finger*Dedo en gatillo, dedo medio derecho
M65332*1*Trigger finger, left middle finger*Dedo en gatillo, dedo medio izquierdo
M65339*1*Trigger finger, unspecified middle finger*Dedo en gatillo, dedo medio no especificado
M6534*0*Trigger finger, ring finger*Dedo en gatillo, dedo anular
M65341*1*Trigger finger, right ring finger*Dedo en gatillo, dedo anular derecho
M65342*1*Trigger finger, left ring finger*Dedo en gatillo, dedo anular izquierdo
M65349*1*Trigger finger, unspecified ring finger*Dedo en gatillo, dedo anular no especificado
M6535*0*Trigger finger, little finger*Dedo en gatillo, dedo meñique
M65351*1*Trigger finger, right little finger*Dedo en gatillo, dedo meñique derecho
M65352*1*Trigger finger, left little finger*Dedo en gatillo, dedo meñique izquierdo
M65359*1*Trigger finger, unspecified little finger*Dedo en gatillo, dedo meñique no especificado
M654*1*Radial styloid tenosynovitis [de Quervain]*Tenosinovitis estiloide radial [de Quervain]
M658*0*Other synovitis and tenosynovitis*Otras sinovitis y tenosinovitis
M6580*1*Other synovitis and tenosynovitis, unspecified site*Otras sinovitis y tenosinovitis, localización no especificada
M6581*0*Other synovitis and tenosynovitis, shoulder*Otras sinovitis y tenosinovitis, hombro
M65811*1*Other synovitis and tenosynovitis, right shoulder*Otras sinovitis y tenosinovitis, hombro derecho
M65812*1*Other synovitis and tenosynovitis, left shoulder*Otras sinovitis y tenosinovitis, hombro izquierdo
M65819*1*Other synovitis and tenosynovitis, unspecified shoulder*Otras sinovitis y tenosinovitis, hombro no especificado
M6582*0*Other synovitis and tenosynovitis, upper arm*Otras sinovitis y tenosinovitis, parte superior del brazo
M65821*1*Other synovitis and tenosynovitis, right upper arm*Otras sinovitis y tenosinovitis, brazo derecho
M65822*1*Other synovitis and tenosynovitis, left upper arm*Otras sinovitis y tenosinovitis, brazo izquierdo
M65829*1*Other synovitis and tenosynovitis, unspecified upper arm*Otras sinovitis y tenosinovitis, brazo no especificado
M6583*0*Other synovitis and tenosynovitis, forearm*Otras sinovitis y tenosinovitis, antebrazo
M65831*1*Other synovitis and tenosynovitis, right forearm*Otras sinovitis y tenosinovitis, antebrazo derecho
M65832*1*Other synovitis and tenosynovitis, left forearm*Otras sinovitis y tenosinovitis, antebrazo izquierdo
M65839*1*Other synovitis and tenosynovitis, unspecified forearm*Otras sinovitis y tenosinovitis, antebrazo no especificado
M6584*0*Other synovitis and tenosynovitis, hand*Otras sinovitis y tenosinovitis, mano
M65841*1*Other synovitis and tenosynovitis, right hand*Otras sinovitis y tenosinovitis, mano derecha
M65842*1*Other synovitis and tenosynovitis, left hand*Otras sinovitis y tenosinovitis, mano izquierda
M65849*1*Other synovitis and tenosynovitis, unspecified hand*Otras sinovitis y tenosinovitis, mano no especificada
M6585*0*Other synovitis and tenosynovitis, thigh*Otras sinovitis y tenosinovitis, muslo
M65851*1*Other synovitis and tenosynovitis, right thigh*Otras sinovitis y tenosinovitis, muslo derecho
M65852*1*Other synovitis and tenosynovitis, left thigh*Otras sinovitis y tenosinovitis, muslo izquierdo
M65859*1*Other synovitis and tenosynovitis, unspecified thigh*Otras sinovitis y tenosinovitis, muslo no especificado
M6586*0*Other synovitis and tenosynovitis, lower leg*Otras sinovitis y tenosinovitis, parte inferior de la pierna
M65861*1*Other synovitis and tenosynovitis, right lower leg*Otras sinovitis y tenosinovitis, pierna derecha
M65862*1*Other synovitis and tenosynovitis, left lower leg*Otras sinovitis y tenosinovitis, pierna izquierda
M65869*1*Other synovitis and tenosynovitis, unspecified lower leg*Otras sinovitis y tenosinovitis, pierna no especificada
M6587*0*Other synovitis and tenosynovitis, ankle and foot*Otras sinovitis y tenosinovitis, tobillo y pie
M65871*1*Other synovitis and tenosynovitis, right ankle and foot*Otras sinovitis y tenosinovitis, tobillo y pie derechos
M65872*1*Other synovitis and tenosynovitis, left ankle and foot*Otras sinovitis y tenosinovitis, tobillo y pie izquierdos
M65879*1*Other synovitis and tenosynovitis, unsp ankle and foot*Otras sinovitis y tenosinovitis, tobillo y pie no especificados
M6588*1*Other synovitis and tenosynovitis, other site*Otras sinovitis y tenosinovitis, otras localizaciones
M6589*1*Other synovitis and tenosynovitis, multiple sites*Otras sinovitis y tenosinovitis, múltiples localizaciones
M659*1*Synovitis and tenosynovitis, unspecified*Sinovitis y tenosinovitis, no especificadas
M66*0*Spontaneous rupture of synovium and tendon*Rotura espontánea de la membrana sinovial y el tendón
M660*1*Rupture of popliteal cyst*Ruptura de quiste poplíteo
